Item, Type, Warmth, Waterproof, Image
Puma Black Hoodie, Top, High, No, images/black-hoodie.jpg
Black Jeans, Bottom, Medium, No, images/black-jeans.jpg
Black Roundneck Sweater, Top, High, No, images/black-sweater.jpg
Blue Formal Shirt, Top, Medium, No, images/blue-formal-shirt.jpg
Baggy Blue Jeans, Bottom, Medium, No, images/blue-jeans.jpg
Cyan polo t-shirt, Top, Low, No, images/blue-polo-tshirt.jpg
Blue Quarter Zip, Top, High, No, images/blue-quarter-zip.jpg
Blue Summer Jacket, Outerwear, Medium, Yes, images/blue-summer-jacket.jpg
Tommy Hilfiger Blue Winter Jacket, Outerwear, High, Yes, images/blue-winter-jacket.jpg
Brown trousers, Bottom, Medium, No, images/brown-chinos.jpg
Brown shorts, Bottom, Low, No, images/brown-shorts.jpg
Club cricket training jersey, Top, Low, No, images/cricket-training-jersey.jpg
Superdry Green T-shirt, Top, Low, No, images/green-printed-tshirt.jpg
Grey shorts, Bottom, Low, No, images/grey-shorts.jpg
Hollister Navy full sleeved polo t-shirt, Top, Medium, No, images/navy-full-sleeved-tshirt.jpg
Red and White striped rubgy t-shirt, Top, Medium, No, images/striped-rugby-shirt.jpg
Blue Jogging bottoms, Bottom, Medium, No, images/blue-jogging-bottoms.jpg
